,ticker,name,sector,industry,date_added,date_removed,reason_removed,is_in_index
307,MCD,McDonald's,Consumer Discretionary,Restaurants,1970-06-30,,,True
308,MCK,McKesson,Health Care,Health Care Distributors,1999-01-13,,,True
309,MDT,Medtronic,Health Care,Health Care Equipment,1986-10-31,,,True
310,MRK,Merck & Co.,Health Care,Pharmaceuticals,1957-03-04,,,True
311,META,Meta Platforms,Communication Services,Interactive Media & Services,2013-12-23,,,True
312,MET,MetLife,Financials,Life & Health Insurance,2000-12-11,,,True
313,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06,,,True
314,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,2017-07-26,,,True
315,MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07,,,True
316,MU,Micron Technology,Information Technology,Semiconductors,1994-09-27,,,True
317,MSFT,Microsoft,Information Technology,Systems Software,1994-06-01,,,True
318,MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,2016-12-02,,,True
319,MRNA,Moderna,Health Care,Biotechnology,2021-07-21,,,True
320,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23,,,True
321,MOH,Molina Healthcare,Health Care,Managed Health Care,2022-03-02,,,True
322,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,1976-06-30,,,True
323,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02,,,True
324,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2021-02-12,,,True
325,MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012-06-28,,,True
326,MCO,Moody's Corporation,Financials,Financial Exchanges & Data,1998-07-01,,,True
327,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1993-07-29,,,True
328,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,2011-09-26,,,True
329,MSI,Motorola Solutions,Information Technology,Communications Equipment,1957-03-04,,,True
330,MSCI,MSCI,Financials,Financial Exchanges & Data,2018-04-04,,,True
331,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2008-10-22,,,True
332,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25,,,True
333,NFLX,Netflix,Communication Services,Movies & Entertainment,2010-12-20,,,True
334,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989-04-30,,,True
335,NEM,Newmont,Materials,Gold,1969-06-30,,,True
336,NWSA,News Corp (Class A),Communication Services,Publishing,2013-08-01,,,True
337,NWS,News Corp (Class B),Communication Services,Publishing,2015-09-18,,,True
338,NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30,,,True
339,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30,,,True
340,NI,NiSource,Utilities,Multi-Utilities,2000-11-02,,,True
341,NDSN,Nordson Corporation,Industrials,Industrial Machinery,2022-02-15,,,True
342,NSC,Norfolk Southern Railway,Industrials,Railroads,1957-03-04,,,True
343,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,1998-01-30,,,True
